SongId,valence_mean,arousal_mean,audio_path,audio_exists
2,3.1,3.0,data/MEMD_audio/2.mp3,True
3,3.5,3.3,data/MEMD_audio/3.mp3,True
4,5.7,5.5,data/MEMD_audio/4.mp3,True
5,4.4,5.3,data/MEMD_audio/5.mp3,True
7,5.8,6.4,data/MEMD_audio/7.mp3,True
8,3.2,4.8,data/MEMD_audio/8.mp3,True
10,4.0,4.7,data/MEMD_audio/10.mp3,True
12,5.5,5.8,data/MEMD_audio/12.mp3,True
13,3.2,4.0,data/MEMD_audio/13.mp3,True
17,4.4,6.0,data/MEMD_audio/17.mp3,True
18,4.8,3.9,data/MEMD_audio/18.mp3,True
19,5.9,4.3,data/MEMD_audio/19.mp3,True
20,5.4,6.5,data/MEMD_audio/20.mp3,True
21,6.6,6.3,data/MEMD_audio/21.mp3,True
22,4.0,4.8,data/MEMD_audio/22.mp3,True
24,5.3,3.9,data/MEMD_audio/24.mp3,True
25,7.9,4.7,data/MEMD_audio/25.mp3,True
31,4.7,3.8,data/MEMD_audio/31.mp3,True
32,4.2,3.3,data/MEMD_audio/32.mp3,True
35,4.8,6.5,data/MEMD_audio/35.mp3,True
37,6.6,5.3,data/MEMD_audio/37.mp3,True
39,7.3,5.4,data/MEMD_audio/39.mp3,True
40,4.6,4.8,data/MEMD_audio/40.mp3,True
41,4.3,5.1,data/MEMD_audio/41.mp3,True
42,6.1,5.1,data/MEMD_audio/42.mp3,True
43,6.7,3.5,data/MEMD_audio/43.mp3,True
44,3.9,4.9,data/MEMD_audio/44.mp3,True
45,5.1,2.1,data/MEMD_audio/45.mp3,True
46,5.3,4.0,data/MEMD_audio/46.mp3,True
47,4.4,4.4,data/MEMD_audio/47.mp3,True
48,4.5,4.8,data/MEMD_audio/48.mp3,True
49,3.9,5.3,data/MEMD_audio/49.mp3,True
50,3.6,4.8,data/MEMD_audio/50.mp3,True
51,3.6,3.2,data/MEMD_audio/51.mp3,True
52,4.6,5.1,data/MEMD_audio/52.mp3,True
53,4.3,5.1,data/MEMD_audio/53.mp3,True
54,3.1,3.3,data/MEMD_audio/54.mp3,True
55,5.8,5.4,data/MEMD_audio/55.mp3,True
56,6.4,5.8,data/MEMD_audio/56.mp3,True
58,3.3,3.4,data/MEMD_audio/58.mp3,True
59,5.3,4.1,data/MEMD_audio/59.mp3,True
60,4.3,6.4,data/MEMD_audio/60.mp3,True
62,6.2,3.9,data/MEMD_audio/62.mp3,True
64,3.6,4.9,data/MEMD_audio/64.mp3,True
65,6.4,5.8,data/MEMD_audio/65.mp3,True
67,7.2,6.8,data/MEMD_audio/67.mp3,True
68,3.8,4.9,data/MEMD_audio/68.mp3,True
69,3.2,3.9,data/MEMD_audio/69.mp3,True
70,4.4,3.6,data/MEMD_audio/70.mp3,True
71,5.9,3.7,data/MEMD_audio/71.mp3,True
72,6.7,5.6,data/MEMD_audio/72.mp3,True
73,5.8,5.6,data/MEMD_audio/73.mp3,True
74,3.0,4.3,data/MEMD_audio/74.mp3,True
76,4.3,3.2,data/MEMD_audio/76.mp3,True
77,4.2,2.9,data/MEMD_audio/77.mp3,True
78,3.4,3.9,data/MEMD_audio/78.mp3,True
79,5.5,5.5,data/MEMD_audio/79.mp3,True
80,6.0,5.1,data/MEMD_audio/80.mp3,True
81,6.1,3.9,data/MEMD_audio/81.mp3,True
82,2.9,3.5,data/MEMD_audio/82.mp3,True
83,6.1,5.8,data/MEMD_audio/83.mp3,True
84,5.9,5.6,data/MEMD_audio/84.mp3,True
85,7.1,6.2,data/MEMD_audio/85.mp3,True
86,5.4,5.6,data/MEMD_audio/86.mp3,True
87,5.3,2.6,data/MEMD_audio/87.mp3,True
88,6.7,5.5,data/MEMD_audio/88.mp3,True
89,4.5,4.8,data/MEMD_audio/89.mp3,True
90,4.3,4.2,data/MEMD_audio/90.mp3,True
91,4.5,5.5,data/MEMD_audio/91.mp3,True
92,5.8,4.7,data/MEMD_audio/92.mp3,True
93,7.2,6.0,data/MEMD_audio/93.mp3,True
95,3.3,4.6,data/MEMD_audio/95.mp3,True
96,6.8,6.9,data/MEMD_audio/96.mp3,True
98,4.3,2.7,data/MEMD_audio/98.mp3,True
99,4.3,4.1,data/MEMD_audio/99.mp3,True
101,3.4,2.8,data/MEMD_audio/101.mp3,True
102,6.5,5.4,data/MEMD_audio/102.mp3,True
103,5.6,3.3,data/MEMD_audio/103.mp3,True
104,6.1,3.3,data/MEMD_audio/104.mp3,True
105,6.5,5.0,data/MEMD_audio/105.mp3,True
106,4.6,3.3,data/MEMD_audio/106.mp3,True
107,6.0,4.8,data/MEMD_audio/107.mp3,True
108,4.5,4.2,data/MEMD_audio/108.mp3,True
109,4.4,4.5,data/MEMD_audio/109.mp3,True
110,4.4,2.8,data/MEMD_audio/110.mp3,True
111,5.3,5.3,data/MEMD_audio/111.mp3,True
112,6.8,6.4,data/MEMD_audio/112.mp3,True
113,5.4,3.8,data/MEMD_audio/113.mp3,True
114,4.8,5.7,data/MEMD_audio/114.mp3,True
115,8.4,7.8,data/MEMD_audio/115.mp3,True
116,4.4,3.9,data/MEMD_audio/116.mp3,True
117,3.9,5.0,data/MEMD_audio/117.mp3,True
118,4.9,4.6,data/MEMD_audio/118.mp3,True
119,4.3,3.2,data/MEMD_audio/119.mp3,True
120,3.8,5.0,data/MEMD_audio/120.mp3,True
121,3.1,3.9,data/MEMD_audio/121.mp3,True
122,5.5,4.6,data/MEMD_audio/122.mp3,True
123,6.1,6.2,data/MEMD_audio/123.mp3,True
124,3.7,2.8,data/MEMD_audio/124.mp3,True
125,4.5,4.2,data/MEMD_audio/125.mp3,True
126,5.1,6.1,data/MEMD_audio/126.mp3,True
127,3.0,5.3,data/MEMD_audio/127.mp3,True
128,3.6,4.0,data/MEMD_audio/128.mp3,True
129,4.2,6.0,data/MEMD_audio/129.mp3,True
130,3.3,4.2,data/MEMD_audio/130.mp3,True
131,6.1,4.9,data/MEMD_audio/131.mp3,True
133,2.8,2.2,data/MEMD_audio/133.mp3,True
134,5.4,6.0,data/MEMD_audio/134.mp3,True
135,3.7,3.5,data/MEMD_audio/135.mp3,True
136,6.8,6.2,data/MEMD_audio/136.mp3,True
137,4.3,5.8,data/MEMD_audio/137.mp3,True
138,3.8,2.4,data/MEMD_audio/138.mp3,True
140,4.2,4.5,data/MEMD_audio/140.mp3,True
142,4.6,4.8,data/MEMD_audio/142.mp3,True
143,4.0,4.9,data/MEMD_audio/143.mp3,True
144,3.4,4.7,data/MEMD_audio/144.mp3,True
145,3.1,5.4,data/MEMD_audio/145.mp3,True
146,2.4,3.5,data/MEMD_audio/146.mp3,True
148,4.7,5.0,data/MEMD_audio/148.mp3,True
149,3.4,3.1,data/MEMD_audio/149.mp3,True
150,5.0,5.4,data/MEMD_audio/150.mp3,True
151,4.0,4.5,data/MEMD_audio/151.mp3,True
152,4.4,5.6,data/MEMD_audio/152.mp3,True
153,3.9,4.5,data/MEMD_audio/153.mp3,True
154,4.2,4.1,data/MEMD_audio/154.mp3,True
155,3.6,5.4,data/MEMD_audio/155.mp3,True
156,6.4,6.7,data/MEMD_audio/156.mp3,True
157,4.0,6.2,data/MEMD_audio/157.mp3,True
158,2.1,3.6,data/MEMD_audio/158.mp3,True
159,3.8,3.1,data/MEMD_audio/159.mp3,True
160,3.5,3.5,data/MEMD_audio/160.mp3,True
161,6.3,3.5,data/MEMD_audio/161.mp3,True
162,3.7,4.6,data/MEMD_audio/162.mp3,True
163,3.6,4.5,data/MEMD_audio/163.mp3,True
164,4.1,2.9,data/MEMD_audio/164.mp3,True
166,3.1,4.2,data/MEMD_audio/166.mp3,True
167,2.7,3.3,data/MEMD_audio/167.mp3,True
168,3.3,3.4,data/MEMD_audio/168.mp3,True
169,2.4,2.8,data/MEMD_audio/169.mp3,True
170,3.0,5.0,data/MEMD_audio/170.mp3,True
171,2.1,3.6,data/MEMD_audio/171.mp3,True
172,3.8,5.0,data/MEMD_audio/172.mp3,True
173,4.6,2.2,data/MEMD_audio/173.mp3,True
174,4.0,3.8,data/MEMD_audio/174.mp3,True
175,3.7,4.3,data/MEMD_audio/175.mp3,True
176,2.4,3.9,data/MEMD_audio/176.mp3,True
177,4.8,5.6,data/MEMD_audio/177.mp3,True
178,2.8,3.7,data/MEMD_audio/178.mp3,True
179,5.2,6.0,data/MEMD_audio/179.mp3,True
180,4.8,5.9,data/MEMD_audio/180.mp3,True
181,3.7,2.5,data/MEMD_audio/181.mp3,True
182,2.2,3.7,data/MEMD_audio/182.mp3,True
184,3.6,3.4,data/MEMD_audio/184.mp3,True
185,4.9,4.6,data/MEMD_audio/185.mp3,True
186,3.7,4.0,data/MEMD_audio/186.mp3,True
187,2.5,3.7,data/MEMD_audio/187.mp3,True
188,4.0,3.3,data/MEMD_audio/188.mp3,True
189,6.5,7.1,data/MEMD_audio/189.mp3,True
190,2.8,3.1,data/MEMD_audio/190.mp3,True
191,5.1,6.3,data/MEMD_audio/191.mp3,True
192,5.8,6.1,data/MEMD_audio/192.mp3,True
193,4.1,3.0,data/MEMD_audio/193.mp3,True
194,2.7,4.7,data/MEMD_audio/194.mp3,True
195,4.2,2.7,data/MEMD_audio/195.mp3,True
196,4.3,4.5,data/MEMD_audio/196.mp3,True
197,2.2,2.8,data/MEMD_audio/197.mp3,True
198,1.9,3.3,data/MEMD_audio/198.mp3,True
199,5.3,5.7,data/MEMD_audio/199.mp3,True
201,3.7,4.8,data/MEMD_audio/201.mp3,True
202,4.6,5.2,data/MEMD_audio/202.mp3,True
203,3.5,4.8,data/MEMD_audio/203.mp3,True
204,3.6,2.2,data/MEMD_audio/204.mp3,True
205,3.0,4.5,data/MEMD_audio/205.mp3,True
206,2.3,2.6,data/MEMD_audio/206.mp3,True
207,4.8,4.8,data/MEMD_audio/207.mp3,True
208,4.8,6.5,data/MEMD_audio/208.mp3,True
209,3.1,4.6,data/MEMD_audio/209.mp3,True
210,4.2,5.5,data/MEMD_audio/210.mp3,True
211,3.1,4.9,data/MEMD_audio/211.mp3,True
212,4.6,5.4,data/MEMD_audio/212.mp3,True
213,2.6,2.5,data/MEMD_audio/213.mp3,True
214,3.6,4.1,data/MEMD_audio/214.mp3,True
215,3.2,2.6,data/MEMD_audio/215.mp3,True
216,4.5,5.3,data/MEMD_audio/216.mp3,True
